year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2019,Q1-Q2,APAC,Australia,Display,53.00%,3.90%,1.00%
2019,Q1-Q2,APAC,Australia,Mobile in app,74.00%,0.80%,3.20%
2019,Q1-Q2,APAC,Australia,Video,60.00%,10.40%,1.40%
2019,Q1-Q2,APAC,China,Display,54.00%,5.80%,4.50%
2019,Q1-Q2,APAC,China,Mobile in app,88.00%,1.40%,1.30%
2019,Q1-Q2,APAC,China,Video,79.00%,7.00%,8.40%
2019,Q1-Q2,APAC,Indonesia,Display,48.00%,3.80%,0.90%
2019,Q1-Q2,APAC,Indonesia,Mobile in app,72.00%,0.60%,1.20%
2019,Q1-Q2,APAC,Indonesia,Video,74.00%,12.20%,0.20%
2019,Q1-Q2,APAC,Japan,Display,48.00%,4.60%,1.30%
2019,Q1-Q2,APAC,Japan,Mobile in app,76.00%,3.60%,2.50%
2019,Q1-Q2,APAC,Japan,Video,59.00%,4.00%,3.60%
2019,Q1-Q2,Eastern Europe,Poland,Display,62.00%,5.50%,2.60%
2019,Q1-Q2,Eastern Europe,Poland,Mobile in app,54.00%,0.20%,1.10%
2019,Q1-Q2,Eastern Europe,Poland,Video,52.00%,13.60%,1.00%
2019,Q1-Q2,Eastern Europe,Russia,Display,50.00%,5.50%,1.50%
2019,Q1-Q2,Eastern Europe,Russia,Mobile in app,71.00%,0.20%,1.10%
2019,Q1-Q2,Eastern Europe,Russia,Video,59.00%,13.60%,1.00%
2019,Q1-Q2,LATAM,Brazil,Display,51.00%,12.00%,2.90%
2019,Q1-Q2,LATAM,Brazil,Mobile in app,49.00%,0.80%,2.00%
2019,Q1-Q2,LATAM,Brazil,Video,68.00%,18.70%,2.20%
2019,Q1-Q2,LATAM,Mexico,Display,61.00%,7.60%,0.30%
2019,Q1-Q2,LATAM,Mexico,Mobile in app,56.00%,4.50%,2.90%
2019,Q1-Q2,LATAM,Mexico,Video,59.00%,10.50%,0.50%
2019,Q1-Q2,NA,Canada,Display,47.00%,12.90%,2.60%
2019,Q1-Q2,NA,Canada,Mobile in app,66.00%,5.70%,3.10%
2019,Q1-Q2,NA,Canada,Video,64.00%,17.90%,1.70%
2019,Q1-Q2,NA,US,Display,58.00%,5.60%,2.80%
2019,Q1-Q2,NA,US,Mobile in app,74.00%,5.90%,2.10%
2019,Q1-Q2,NA,US,Video,64.00%,8.80%,3.20%
2019,Q1-Q2,Western Europe,Austria,Display,81.00%,6.80%,2.00%
2019,Q1-Q2,Western Europe,Austria,Mobile in app,62.00%,8.20%,2.30%
2019,Q1-Q2,Western Europe,France,Display,53.00%,6.70%,2.30%
2019,Q1-Q2,Western Europe,France,Mobile in app,56.00%,1.30%,4.40%
2019,Q1-Q2,Western Europe,France,Video,64.00%,12.50%,2.10%
2019,Q1-Q2,Western Europe,Germany,Display,47.00%,8.60%,4.60%
2019,Q1-Q2,Western Europe,Germany,Mobile in app,55.00%,4.80%,3.00%
2019,Q1-Q2,Western Europe,Germany,Video,68.00%,6.70%,1.40%
2019,Q1-Q2,Western Europe,Italy,Display,50.00%,8.40%,0.70%
2019,Q1-Q2,Western Europe,Italy,Mobile in app,68.00%,3.30%,0.90%
2019,Q1-Q2,Western Europe,Italy,Video,71.00%,6.60%,0.90%
2019,Q1-Q2,Western Europe,Netherlands,Display,57.00%,5.90%,1.70%
2019,Q1-Q2,Western Europe,Netherlands,Mobile in app,51.00%,30.10%,3.90%
2019,Q1-Q2,Western Europe,Netherlands,Video,69.00%,10.70%,1.80%
2019,Q1-Q2,Western Europe,Spain,Display,46.00%,7.70%,0.70%
2019,Q1-Q2,Western Europe,Spain,Mobile in app,43.00%,7.50%,0.60%
2019,Q1-Q2,Western Europe,Spain,Video,76.00%,14.20%,1.40%
2019,Q1-Q2,Western Europe,Sweden,Display,59.00%,3.50%,1.40%
2019,Q1-Q2,Western Europe,Sweden,Mobile in app,65.00%,0.60%,1.00%
2019,Q1-Q2,Western Europe,Sweden,Video,65.00%,13.90%,2.00%
2019,Q1-Q2,Western Europe,Switzerland,Display,59.00%,6.80%,1.00%
2019,Q1-Q2,Western Europe,Switzerland,Mobile in app,57.00%,8.20%,2.30%
2019,Q1-Q2,Western Europe,UK,Display,55.00%,6.80%,1.80%
